CountyCode,arab_voter_count,County_Name
1,22249,Alameda
3,9,Amador
4,451,Butte
5,42,Calaveras
6,24,Colusa
7,12600,Contra Costa
8,7,Del Norte
9,580,El Dorado
10,4126,Fresno
11,28,Glenn
12,130,Humboldt
13,166,Imperial
14,6,Inyo
15,2913,Kern
16,240,Kings
17,62,Lake
18,13,Lassen
19,56388,Los Angeles
20,345,Madera
21,1109,Marin
22,7,Mariposa
23,68,Mendocino
24,570,Merced
26,6,Mono
27,1470,Monterey
28,349,Napa
29,59,Nevada
30,35010,Orange
31,2763,Placer
32,5,Plumas
33,14797,Riverside
34,15695,Sacramento
35,101,San Benito
36,11520,San Bernardino
37,27522,San Diego
38,6129,San Francisco
39,8710,San Joaquin
40,478,San Luis Obispo
41,6272,San Mateo
42,935,Santa Barbara
43,16840,Santa Clara
44,633,Santa Cruz
45,118,Shasta
47,13,Siskiyou
48,1994,Solano
49,1008,Sonoma
50,2402,Stanislaus
51,710,Sutter
52,31,Tehama
53,8,Trinity
54,1053,Tulare
55,21,Tuolumne
56,3554,Ventura
57,2173,Yolo
58,206,Yuba
